,CNGC10
TPC1,7.0753
HKT1,6.8784
AKT1,6.8378
HAK5,5.9408
KT2/3,5.6645
NHX1,4.9916
NHX2,4.8038
KAT3,4.5126
CNGC10,4.4616
SKOR,4.4398
CIPK23,4.4052
GLR1.4,4.3383
SOS3,4.3307
GLUR2,4.2542
CBL1,4.1457
TPK4,4.1299
GLR1.1,4.1139
GLR2.1,3.9896
KCO6,3.9435
CLC-E,3.9308
CLC-C,3.9134
GLR3.4,3.8961
CLC-F,3.8776
GORK,3.848
CNBT1,3.8223
RBOHD,3.8028
CNGC14,3.8022
CAX1,3.774
KUP11,3.7723
KUP1,3.7546
KCO5,3.7411
KEA3,3.7146
TRH1,3.6981
KCO1,3.6479
CLC-B,3.6265
ECA1,3.621
CNGC13,3.5795
KAT2,3.5781
KEA6,3.5603
CNGC19,3.5404
KUP6,3.4914
CNGC9,3.4847
KCO3,3.4801
AT5G17850,3.4793
GLR1.3,3.4348
ALMT12,3.4221
OZS1,3.4055
CAX3,3.4045
AT5G33280,3.3886
SPIK,3.3714
ATCHX13,3.3436
At5g46330,3.3266
CNGC3,3.2589
AT1G60160,3.2456
NRT2:1,3.238
SOS1,3.2263
CNGC7,3.2241
CNGC16,3.2003
CNGC15,3.1873
CBL10,3.1598
CPK20,3.1083
SLAH2,3.0752
GLR2.3,3.0731
WR3,3.0728
GLR2.9,3.0292
GLR2.7,3.0288
KAT1,3.0024
SIP3,3.0009
CNGC8,2.9778
CNGC6,2.9568
NRT2.4,2.9562
T22C5.23,2.9041
CHX23,2.871
SLAH1,2.867
KUP3,2.8617
NRT1.1,2.8184
KUP10,2.8073
MHX,2.7626
AT4G22990,2.7519
CPK21,2.7414
NRT2.5,2.7395
GLR2,2.7241
KT2,2.7197
KUP7,2.7132
CLC-D,2.6914
KT5,2.6726
CAM7,2.6701
KUP9,2.6517
KAB1,2.6423
GLR3.3,2.6196
CHX17,2.5908
ATGLR1.2,2.5387
At2g41560,2.5322
CHX20,2.5307
CNGC11,2.5224
SLAH3,2.5168
44470,2.4974
CNGC18,2.4678
CRK1,2.4501
AT3G45700,2.4491
CBL7,2.4477
CAM6,2.4426
CBL9,2.4315
SIP4,2.3954
NRT1.5,2.3949
AMT1;5,2.3908
AT3G45710,2.3886
PCAP1,2.3514
ECA3,2.3453
NRT2.2,2.3335
CPK6,2.325
AT4G14480,2.3185
NRT2.7,2.3067
AT4G04340,2.2946
DND1,2.2776
AMT2,2.277
AMT1;4,2.2643
ACA9,2.2618
ACA10,2.2289
GLR3.5,2.2223
CNGC1,2.2206
BON2,2.2023
MSL9,2.1861
MCA2,2.1657
KEA1,2.1608
AT1G49960,2.16
NRT1.7,2.1548
ALMT9,2.1443
PIP2A,2.1179
GLB1,2.1002
AT3G03000,2.0981
LecRK-I.9,2.0854
BAK1,2.0794
CAT6,2.074
CNGC5,2.0705
AT2G23790,2.0703
BAS1,2.069
CPK23,2.0665
AT5G49960,2.0531
44472,2.0376
MSL3,2.0082
VHA-A1,1.9957
CAM9,1.9937
GLR5,1.9587
AT4G11170,1.9571
P5CS1,1.9381
NDT1,1.9379
RBOHF,1.9231
AMT1;1,1.9077
ECA4,1.9037
AT1G57610,1.9021
KUP5,1.896
UMAMIT1,1.8884
AZG1,1.8659
AT3G45810,1.8581
INT4,1.8548
ProT3,1.8422
AT3G21670,1.8422
At5g57110,1.835
RHD2,1.8294
EIN2,1.8256
SYP121,1.8112
GLU1,1.807
CAM5,1.7975
NRT1.6,1.773
MSL2,1.7687
CBL5,1.767
AT2G26690,1.7663
GLR2.8,1.7625
CHX21,1.7516
AT5G02170,1.7503
CBL3,1.7474
GLR2.2,1.7416
ECA2,1.7409
SLAH4,1.7391
CPK14,1.739
CPK13,1.7358
MSL10,1.734
MCA1,1.7241
ACA11,1.7223
DET3,1.7213
CBL2,1.7089
PROT1,1.7025
CPK29,1.6889
GLR3.6,1.6831
CPK33,1.6808
CDPK6,1.6706
AT3G59440,1.6659
GLT1,1.6524
AT2G25520,1.6511
CPK31,1.6482
AT2G43850,1.642
AVP1,1.6335
AT2G27240,1.6269
ICK3,1.605
CPK16,1.6022
ERL2,1.5805
BR6OX2,1.5802
VHA-A2,1.5787
AT3G24110,1.5756
