,GLR2.7
TPC1,8.1149
GLUR2,4.795
GLR1.4,4.6639
GLR3.4,4.5912
GLR1.1,4.298
GLR1.3,4.2623
GLR2.3,4.1437
GLR2.1,4.059
AKT1,3.9788
GLR2.9,3.9592
ECA1,3.8253
RBOHD,3.8016
GLR2.7,3.682
CNGC14,3.6172
CAX1,3.4919
HAK5,3.4595
HKT1,3.4286
NHX1,3.3806
AT4G26470,3.3499
CPK20,3.3282
AT3G24110,3.2093
CNGC7,3.2079
AT1G12310,3.2037
AT3G56760,3.2002
AT3G47480,3.1379
RHD2,3.122
CNBT1,3.1219
GLR5,3.1061
CNGC10,3.0288
AT2G23790,3.0006
AT3G01830,2.9469
PCAP1,2.8855
CAX3,2.8644
CBL1,2.8357
CNGC16,2.8228
ATGLR1.2,2.8201
AT2G41410,2.8191
AT1G57610,2.8119
T22C5.23,2.7791
AT3G03400,2.7277
CRK1,2.7231
AT1G09575,2.7139
AT5G17850,2.7075
AT4G32060,2.6998
CBL6,2.6976
GLR2,2.6934
AT1G21550,2.6866
CAM7,2.6823
AT4G11170,2.6786
GLR3.3,2.6776
KCO1,2.6767
AT3G10190,2.6645
CNGC19,2.6465
KT2/3,2.6066
CAM9,2.5845
CNGC9,2.5817
DND1,2.5616
AT1G62820,2.554
GORK,2.5534
CIPK23,2.5456
CPK16,2.5455
PC1,2.5271
AT5G39670,2.5177
AT3G18430,2.5142
SOS3,2.5105
CNGC8,2.4898
AT3G03410,2.4823
AT3G03000,2.4498
OZS1,2.4395
CML37,2.435
At2g41560,2.4327
CML41,2.4032
AT3G10300,2.3891
SKOR,2.3351
AT3G29000,2.283
AT5G66650,2.2748
CBL10,2.2674
CNGC18,2.2618
AT1G18210,2.2323
CPK14,2.2195
RSH2,2.2185
NHX2,2.2154
AT2G27480,2.2135
GLR2.5,2.2063
CNGC6,2.2003
GLR2.2,2.1725
CNGC15,2.1715
PP7,2.1663
MYB20,2.1544
RBOHF,2.1455
CNGC13,2.1418
CPK22,2.1382
GLR2.8,2.1314
AT1G02750,2.1224
AT1G73440,2.1027
CPK29,2.088
ACA9,2.085
ECA4,2.0791
CAM5,2.0669
KAT3,2.0604
AT4G14480,2.0586
CPK33,2.0532
ECA3,2.0523
CML30,2.0491
CPK31,2.0457
ACA10,2.0245
GLR3.5,2.018
LecRK-I.9,2.0144
CPK19,2.0102
KCO3,1.9989
AT3G45810,1.9941
SOS1,1.9843
ECA2,1.9726
CNGC11,1.9705
CBP60G,1.9582
CAM6,1.9536
CPK6,1.9526
AT1G24620,1.9325
AT4G04340,1.9263
ATCHX13,1.919
AT1G73630,1.917
CNGC3,1.8833
CDPK19,1.8782
At5g57110,1.8765
AT2G36180,1.8579
CNGC5,1.8543
AT4G36820,1.8533
CPK21,1.841
CPK17,1.8379
GLR3.6,1.826
AT3G03430,1.8257
SIP3,1.8239
KCO6,1.8221
ANNAT2,1.8164
AT3G59440,1.8103
PSBC,1.8033
CBL7,1.8019
TRH1,1.7997
TOM2A,1.7991
PSBE,1.7942
APRR2,1.7911
TPK4,1.7879
PSBI,1.7846
AT2G43850,1.7814
AT1G60160,1.7764
LOL2,1.7729
XLG2,1.7689
AT1G76640,1.7669
SIP4,1.7627
PSBL,1.7605
SLAH3,1.756
BAS1,1.7501
CPK18,1.7486
CLC-F,1.7397
CPK1,1.7396
CNGC12,1.7396
SLAH2,1.7358
TCH2,1.7335
SYP121,1.7288
CLC-C,1.7209
KUP1,1.706
AT4G03290,1.7015
AZG1,1.7015
KAT2,1.6951
PSBF,1.6935
AT1G32250,1.6926
AT2G41090,1.6924
CPK9,1.6841
LHCA2,1.6793
MPB2C,1.6567
CPK23,1.6516
At5g46330,1.6491
SYP122,1.6449
AT1G78310,1.6308
CML42,1.6268
MHX,1.6225
CLC-E,1.6163
CBL5,1.6156
PSBA,1.6091
ALMT12,1.6077
CRT1,1.5992
AT1G72870,1.5927
PSBB,1.5892
ANNAT4,1.5838
WRKY8,1.5809
ACA11,1.5754
TCH3,1.5719
CPK13,1.5645
CPK28,1.5609
ENODL5,1.5579
PSBH,1.5545
PSBD,1.5529
AT3G25600,1.5496
AT5G49960,1.5459
CBL9,1.5444
CBL8,1.5433
CPK26,1.5413
AT2G22950,1.5373
BON2,1.5316
KUP11,1.5281
