,IMPA-2
AT3G08943,3.7334
AT5G53480,3.7077
AT2G46520,3.5515
AT3G08947,3.3563
ATARCA,3.3182
ABH1,3.2917
AT4G27640,2.8851
NRPA2,2.8428
RACK1C_AT,2.8278
NOP56,2.7473
EMB2762,2.6379
MAC3B,2.6317
RACK1B_AT,2.6105
AT1G59660,2.5797
MAC3A,2.5533
SAD2,2.5325
NRPC2,2.4766
TOZ,2.4592
XPO1B,2.4181
NOF1,2.4151
NRPB6B,2.3998
IMP4,2.3481
XPO1A,2.3315
MOS4,2.3298
IMPA-4,2.3049
emb1507,2.2908
emb2386,2.2704
AT1G10390,2.2468
HASTY,2.2339
PSD,2.2273
NUP155,2.2252
NRPB12,2.22
PRL1,2.1994
TIF3H1,2.1774
RID3,2.1632
HEN2,2.1283
AT4G10320,2.124
EIF2,2.1231
IMPA-2,2.0898
SEH1H,2.0751
TRIP-1,2.0381
AT3G08960,2.0231
YAO,2.0196
PFL,2.0156
eIFiso4G2,2.0043
AT2G36930,1.9604
AT4G16444,1.9491
NRPB9B,1.9346
AT5G26710,1.9045
OLI2,1.8485
CID3,1.844
ASF1B,1.8255
IMPA-1,1.8075
NRPC1,1.7991
MOS14,1.788
IMPA-9,1.7797
AT2G32600,1.772
AT3G17340,1.7683
SmD3,1.7621
EMB2753,1.7408
AT1G12470,1.7288
MEE49,1.7283
MEE21,1.7188
AGO1,1.704
NTF2A,1.6922
LSM2,1.6851
RAE1,1.683
AT3G59020,1.6691
MAC5A,1.6436
AT1G26170,1.6423
RPL3P,1.6373
PAB8,1.6272
RPB5D,1.6118
emb1027,1.6028
EMB2777,1.6
EMB2788,1.596
EIF4A-2,1.5937
NRPB6A,1.5925
SNRNP-G,1.5853
AT1G74250,1.5844
NFD1,1.582
LOS1,1.5649
AT5G06120,1.5533
MAP2B,1.5441
AT4G28990,1.5298
AT5G42560,1.5298
emb1441,1.5181
AT3G23145,1.5092
OVA9,1.5056
POP4,1.5047
EMB2754,1.5038
EIF4A1,1.4981
AT1G66810,1.4981
eIF6A,1.4962
EMB2765,1.4899
RRP41,1.4848
SE,1.4829
EIF4A-III,1.4826
RPL10B,1.4696
PGY1,1.4696
AT3G05760,1.4611
IMPA-7,1.4572
AT2G24030,1.4546
emb1129,1.4539
MDP40,1.4425
MAP1A,1.4393
AT5G18550,1.4342
AT5G40310,1.4261
ZFWD1,1.4185
ATKRS-1,1.3992
DECOY,1.3845
AT5G43620,1.384
IMPA-6,1.3813
SETH5,1.3665
EMB2369,1.359
NAP1;2,1.3472
PYM,1.3449
emb1513,1.3208
AT2G16960,1.3181
IQD30,1.3151
RDR6,1.2932
AT3G15680,1.2907
CID11,1.2867
RUXF,1.2825
emb1473,1.2787
MORF4,1.2702
AT5G49200,1.2679
TRZ3,1.2659
AT4G18720,1.2579
AT1G32880,1.2541
EDA14,1.254
FAS2,1.2526
AT5G14460,1.2504
AT2G48100,1.2445
AT5G51980,1.244
PSRP5,1.2351
RPL34,1.2343
At2g16950,1.2335
ILA,1.2327
AT3G27700,1.2297
AT1G72480,1.227
EMB3010,1.2262
RPS10B,1.225
MPB2C,1.2212
EMB2769,1.2153
AT1G53260,1.2114
AT1G48570,1.21
AT4G05400,1.2092
AT4G37130,1.2027
AT1G10980,1.2017
PAB4,1.1931
AT1G72550,1.1798
MORF1,1.1715
CDC48C,1.1712
AT5G08500,1.1654
AT2G25370,1.1634
AT1G01350,1.1591
AT1G55040,1.1579
MAC5B,1.1571
ERD15,1.1555
GIF2,1.155
U1A,1.1537
AT3G47120,1.1506
TAF11,1.1493
AT3G52980,1.1407
PRPL35,1.134
AGO10,1.1338
AT1G48540,1.1333
TIL1,1.1323
CPZ,1.1279
AT5G10630,1.1253
TAF4,1.1221
AT5G01160,1.1207
HTA9,1.113
AT2G12880,1.1118
NAP1;3,1.1093
AT1G21580,1.0989
EMB2247,1.0931
RPL15,1.0929
AT1G30455,1.084
PRPL28,1.0837
AT3G09360,1.0796
AT1G73940,1.072
AT2G45100,1.0678
AT4G16830,1.0659
AT5G65740,1.0636
CPSF73-I,1.0623
Iqd4,1.0591
FZF,1.0587
ATO,1.058
POLGAMMA2,1.0571
AT2G01070,1.0571
AT1G75340,1.0569
AT3G28670,1.0558
AT5G47430,1.0514
AT2G36480,1.0514
AT3G17920,1.0511
HUA1,1.0505
AT3G44785,1.0505
RPS15A,1.0489
